word_raw,word_clean,start,end,start_lagged,TR,segment_idx_0,segment_idx_1,segment_idx_2,segment_idx_3,segment_idx_4,segment_idx_5
I,i,15.089999,15.169999,19.589999,14,0,0,0,0,0,0
began,began,15.17,15.51,19.67,14,0,0,0,0,0,0
my,my,15.509999,15.699999,20.009999,14,0,0,0,0,0,0
illustrious,<unk>,15.71,16.310000000000002,20.21,14,0,0,0,0,0,0
career,career,16.33,16.939999999999998,20.83,14,0,0,0,0,0,0
in,in,17.08,17.209999999999997,21.58,15,0,0,0,0,0,0
journalism,journalism,17.209999,17.929999,21.709999,15,0,0,0,0,0,0
in,in,18.469999,18.589999,22.969999,16,0,0,0,0,0,0
the,the,18.59,18.68,23.09,16,0,0,0,0,0,0
Bronx,bronx,18.68,19.24,23.18,16,0,0,0,0,0,0
where,where,19.24,19.39,23.74,16,0,0,0,0,0,0
I,i,19.39,19.5,23.89,16,0,0,0,0,0,0
toiled,<unk>,19.5,20.09,24.0,17,0,0,0,0,0,0
as,as,20.36,20.49,24.86,17,0,0,0,0,0,0
a,a,20.49,20.540000000000003,24.99,17,0,0,0,0,0,0
hard,hard,20.54,20.89,25.04,17,0,0,0,0,0,0
boiled,boiled,20.89,21.14,25.39,17,0,0,0,0,0,0
reporter,reporter,21.14,21.91,25.64,18,0,0,0,0,0,0
for,for,22.09,22.24,26.59,18,0,0,0,0,0,0
the,the,22.24,22.360000000000003,26.74,18,0,0,0,0,0,0
Ram,ram,22.36,22.77,26.86,18,0,0,0,0,0,0
the,the,23.93,24.1,28.43,19,0,0,0,0,0,0
student,student,24.1,24.62,28.6,20,0,0,0,0,0,0
newspaper,newspaper,24.63,25.27,29.13,20,0,0,0,0,0,0
at,at,25.27,25.39,29.77,20,0,0,0,0,0,0
Fordham,fordham,25.39,25.69,29.89,20,0,0,0,0,0,0
University,university,25.69,26.41,30.19,21,0,0,0,0,0,0
And,and,27.07,27.2,31.57,22,1,1,1,1,1,1
one,one,27.2,27.33,31.7,22,1,1,1,1,1,1
day,day,27.33,27.49,31.83,22,1,1,1,1,1,1
I’m,i'm,27.49,27.590000000000003,31.99,22,1,1,1,1,1,1
walking,walking,27.59,27.87,32.09,22,1,1,1,1,1,1
toward,toward,27.87,28.05,32.370000000000005,22,1,1,1,1,1,1
the,the,28.05,28.12,32.55,22,1,1,1,1,1,1
campus,campus,28.12,28.43,32.620000000000005,22,1,1,1,1,1,1
center,center,28.429999,28.769999,32.929998999999995,22,1,1,1,1,1,1
and,and,28.96,29.130000000000003,33.46,23,1,1,1,1,1,1
out,out,29.139999,29.329999,33.639999,23,1,1,1,1,1,1
comes,comes,29.33,29.55,33.83,23,1,1,1,1,1,1
the,the,29.58,29.69,34.08,23,1,1,1,1,1,1
elusive,elusive,29.69,30.38,34.19,23,1,1,1,1,1,1
Dean,dean,30.61,31.0,35.11,24,1,1,1,1,1,1
McGowan,<unk>,31.0,31.66,35.5,24,1,1,1,1,1,1
architect,architect,32.299999,32.819999,36.799999,25,1,1,1,1,1,1
of,of,32.82,32.910000000000004,37.32,25,1,1,1,1,1,1
a,a,32.91,33.0,37.41,25,1,1,1,1,1,1
policy,policy,33.009999,33.769999,37.509999,26,1,1,1,1,1,1
to,to,34.07,34.21,38.57,26,1,1,1,1,1,1
replace,replace,34.209999,34.729999,38.709999,26,1,1,1,1,1,1
Fordham’s,<unk>,34.730000000000004,35.190000000000005,39.230000000000004,27,1,1,1,1,1,1
traditionally,traditionally,35.199999,36.009999,39.699999,27,1,1,1,1,1,1
working,working,36.41,37.04,40.91,28,1,1,1,1,1,1
to,to,37.09,37.150000000000006,41.59,28,1,1,1,1,1,1
middle,middle,37.16,37.36,41.66,28,1,1,1,1,1,1
class,class,37.369999,37.669999,41.869999,28,1,1,1,1,1,1
students,students,37.67,38.28,42.17,29,1,1,1,1,1,1
with,with,38.74,39.120000000000005,43.24,29,1,1,1,1,1,1
wealthier,wealthier,39.23,39.85,43.73,30,1,1,1,1,1,1
more,more,39.85,40.04,44.35,30,1,1,1,1,1,1
prestigious,prestigious,40.04,40.68,44.54,30,1,1,1,1,1,1
ones,ones,40.68,41.26,45.18,31,1,1,1,1,1,1
So,so,42.21,42.38,46.71,32,1,1,1,1,1,1
I,i,42.38,42.46,46.88,32,1,1,1,1,1,1
whip,whip,42.46,42.65,46.96,32,1,1,1,1,1,1
out,out,42.65,42.76,47.15,32,1,1,1,1,1,1
my,my,42.76,42.88,47.26,32,1,1,1,1,1,1
notebook,notebook,42.88,43.2,47.38,32,1,1,1,1,1,1
and,and,43.2,43.3,47.7,32,1,1,1,1,1,1
I,i,43.3,43.37,47.8,32,1,1,1,1,1,1
go,go,43.37,43.5,47.87,32,1,1,1,1,1,1
up,up,43.5,43.61,48.0,33,1,1,1,1,1,1
to,to,43.61,43.72,48.11,33,1,1,1,1,1,1
him,him,43.72,43.82,48.22,33,1,1,1,1,1,1
and,and,43.82,43.93,48.32,33,1,1,1,1,1,1
I,i,43.93,44.01,48.43,33,1,1,1,1,1,1
say,say,44.01,44.18,48.51,33,1,1,1,1,1,1
Dean,dean,44.179999,44.539999,48.679999,33,1,1,1,1,1,1
McGowan,<unk>,44.54,44.97,49.04,33,1,1,1,1,1,1
is,is,45.42,45.57,49.92,34,1,1,1,1,1,1
it,it,45.57,45.7,50.07,34,1,1,1,1,1,1
true,true,45.719999,46.099999,50.219999,34,1,1,1,1,1,1
that,that,46.099999,46.249999,50.599999,34,1,1,1,1,1,1
Fordham,fordham,46.25,46.52,50.75,34,1,1,1,1,1,1
University,university,46.52,47.02,51.02,35,1,1,1,1,1,1
