word_raw,word_clean,start,end,TR,segment_idx_0,segment_idx_1,segment_idx_2,segment_idx_3,segment_idx_4,segment_idx_5
I,i,15.089999,15.169999,11,0,0,0,0,0,0
began,began,15.17,15.51,11,0,0,0,0,0,0
my,my,15.509999,15.699999,11,0,0,0,0,0,0
illustrious,<unk>,15.71,16.310000000000002,11,0,0,0,0,0,0
career,career,16.33,16.939999999999998,11,0,0,0,0,0,0
in,in,17.08,17.209999999999997,12,0,0,0,0,0,0
journalism,journalism,17.209999,17.929999,12,0,0,0,0,0,0
in,in,18.469999,18.589999,13,0,0,0,0,0,0
the,the,18.59,18.68,13,0,0,0,0,0,0
Bronx,bronx,18.68,19.24,13,0,0,0,0,0,0
where,where,19.24,19.39,13,0,0,0,0,0,0
I,i,19.39,19.5,13,0,0,0,0,0,0
toiled,<unk>,19.5,20.09,14,0,0,0,0,0,0
as,as,20.36,20.49,14,0,0,0,0,0,0
a,a,20.49,20.540000000000003,14,0,0,0,0,0,0
hard,hard,20.54,20.89,14,0,0,0,0,0,0
boiled,boiled,20.89,21.14,14,0,0,0,0,0,0
reporter,reporter,21.14,21.91,15,0,0,0,0,0,0
for,for,22.09,22.24,15,0,0,0,0,0,0
the,the,22.24,22.360000000000003,15,0,0,0,0,0,0
Ram,ram,22.36,22.77,15,0,0,0,0,0,0
the,the,23.93,24.1,16,0,0,0,0,0,0
student,student,24.1,24.62,17,0,0,0,0,0,0
newspaper,newspaper,24.63,25.27,17,0,0,0,0,0,0
at,at,25.27,25.39,17,0,0,0,0,0,0
Fordham,fordham,25.39,25.69,17,0,0,0,0,0,0
University,university,25.69,26.41,18,0,0,0,0,0,0
And,and,27.07,27.2,19,1,1,1,1,1,1
one,one,27.2,27.33,19,1,1,1,1,1,1
day,day,27.33,27.49,19,1,1,1,1,1,1
I’m,i'm,27.49,27.590000000000003,19,1,1,1,1,1,1
walking,walking,27.59,27.87,19,1,1,1,1,1,1
toward,toward,27.87,28.05,19,1,1,1,1,1,1
the,the,28.05,28.12,19,1,1,1,1,1,1
campus,campus,28.12,28.43,19,1,1,1,1,1,1
center,center,28.429999,28.769999,19,1,1,1,1,1,1
and,and,28.96,29.130000000000003,20,1,1,1,1,1,1
out,out,29.139999,29.329999,20,1,1,1,1,1,1
comes,comes,29.33,29.55,20,1,1,1,1,1,1
the,the,29.58,29.69,20,1,1,1,1,1,1
elusive,elusive,29.69,30.38,20,1,1,1,1,1,1
Dean,dean,30.61,31.0,21,1,1,1,1,1,1
McGowan,<unk>,31.0,31.66,21,1,1,1,1,1,1
architect,architect,32.299999,32.819999,22,1,1,1,1,1,1
of,of,32.82,32.910000000000004,22,1,1,1,1,1,1
a,a,32.91,33.0,22,1,1,1,1,1,1
policy,policy,33.009999,33.769999,23,1,1,1,1,1,1
to,to,34.07,34.21,23,1,1,1,1,1,1
replace,replace,34.209999,34.729999,23,1,1,1,1,1,1
Fordham’s,<unk>,34.730000000000004,35.190000000000005,24,1,1,1,1,1,1
traditionally,traditionally,35.199999,36.009999,24,1,1,1,1,1,1
working,working,36.41,37.04,25,1,1,1,1,1,1
to,to,37.09,37.150000000000006,25,1,1,1,1,1,1
middle,middle,37.16,37.36,25,1,1,1,1,1,1
class,class,37.369999,37.669999,25,1,1,1,1,1,1
students,students,37.67,38.28,26,1,1,1,1,1,1
with,with,38.74,39.120000000000005,26,1,1,1,1,1,1
wealthier,wealthier,39.23,39.85,27,1,1,1,1,1,1
more,more,39.85,40.04,27,1,1,1,1,1,1
prestigious,prestigious,40.04,40.68,27,1,1,1,1,1,1
ones,ones,40.68,41.26,28,1,1,1,1,1,1
So,so,42.21,42.38,29,1,1,1,1,1,1
I,i,42.38,42.46,29,1,1,1,1,1,1
whip,whip,42.46,42.65,29,1,1,1,1,1,1
out,out,42.65,42.76,29,1,1,1,1,1,1
my,my,42.76,42.88,29,1,1,1,1,1,1
notebook,notebook,42.88,43.2,29,1,1,1,1,1,1
and,and,43.2,43.3,29,1,1,1,1,1,1
I,i,43.3,43.37,29,1,1,1,1,1,1
go,go,43.37,43.5,29,1,1,1,1,1,1
up,up,43.5,43.61,30,1,1,1,1,1,1
to,to,43.61,43.72,30,1,1,1,1,1,1
him,him,43.72,43.82,30,1,1,1,1,1,1
and,and,43.82,43.93,30,1,1,1,1,1,1
I,i,43.93,44.01,30,1,1,1,1,1,1
say,say,44.01,44.18,30,1,1,1,1,1,1
Dean,dean,44.179999,44.539999,30,1,1,1,1,1,1
McGowan,<unk>,44.54,44.97,30,1,1,1,1,1,1
is,is,45.42,45.57,31,1,1,1,1,1,1
it,it,45.57,45.7,31,1,1,1,1,1,1
true,true,45.719999,46.099999,31,1,1,1,1,1,1
that,that,46.099999,46.249999,31,1,1,1,1,1,1
Fordham,fordham,46.25,46.52,31,1,1,1,1,1,1
University,university,46.52,47.02,32,1,1,1,1,1,1
plans,plans,47.02,47.29,32,1,1,1,1,1,1
to,to,47.29,47.41,32,1,1,1,1,1,1
